Column1;longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity
1776;-118.32;33.97;46;1504;270;814;306;4.3919;157100;<1H OCEAN
1777;-118.35;34.06;48;1354;279;716;309;3.7167;385000;<1H OCEAN
1778;-121.48;38.57;38;1145;324;596;288;1.78;114300;INLAND
1779;-121.94;37.35;18;1922;561;1096;545;2.3713;244000;<1H OCEAN
1780;-117.66;35.6;14;1740;391;850;317;2.5812;91700;INLAND
1781;-118.38;34.18;27;4834;1527;3847;1432;2.1449;165300;<1H OCEAN
1782;-121.37;39.03;32;1158;244;598;227;2.8235;65500;INLAND
1783;-118.95;35.38;30;2594;478;1419;480;3.725;83100;INLAND
1784;-117.67;33.55;6;3157;721;1695;710;3.7609;222300;<1H OCEAN
1785;-119.79;36.77;30;1610;410;1000;397;2.0357;60200;INLAND
1786;-122.23;37.82;52;3051;381;1005;369;8.1872;466100;NEAR BAY
1787;-121.66;36.71;27;4131;886;2002;815;3.2929;157500;<1H OCEAN
1788;-118.02;34.13;33;2874;458;1239;431;5.2329;430900;INLAND
1789;-118.01;33.9;36;1382;257;685;255;5.125;211700;<1H OCEAN
1790;-122.15;37.44;52;1945;293;708;275;6.1655;500001;NEAR BAY
1791;-117.98;33.69;22;3957;520;1774;527;7.0907;350200;<1H OCEAN
1792;-119.53;37.34;26;4047;702;571;199;2.3482;179500;INLAND
1793;-121.29;37.99;41;930;191;463;185;3.4141;90600;INLAND
1794;-122.47;38.34;15;2411;446;1144;407;4.3472;261000;<1H OCEAN
1795;-119.85;36.81;15;1743;310;1011;325;3.755;68000;INLAND
1796;-118.21;34.14;25;1908;628;1412;588;2.2267;189800;<1H OCEAN
1797;-116.38;33.71;17;12509;2460;2737;1423;4.5556;258100;INLAND
1798;-119.82;36.77;36;2252;468;1117;442;2.9081;65600;INLAND
1799;-120.99;38.69;5;5743;1074;2651;962;4.1163;172500;INLAND
1800;-121.43;38.56;50;1533;288;532;257;2.5417;125900;INLAND
1801;-118.12;33.96;38;2105;348;956;350;4.4125;246000;<1H OCEAN
1802;-122.58;38.58;32;2723;637;1549;556;2.3942;183100;INLAND
1803;-118.02;33.78;28;3375;559;1754;554;5.5446;228900;<1H OCEAN
1804;-117.22;32.84;19;2691;347;1154;366;8.051;363600;NEAR OCEAN
1805;-118.28;34.09;52;2273;663;1480;597;2.3333;196500;<1H OCEAN
1806;-118.14;34.1;52;4061;861;2290;790;2.8919;258400;<1H OCEAN
1807;-121.45;38.55;19;3374;808;1412;753;1.4889;77600;INLAND
1808;-117.7;33.5;4;2351;445;834;397;5.5677;245400;<1H OCEAN
1809;-118.15;34.04;44;647;142;457;143;3.6875;162500;<1H OCEAN
1810;-117.07;32.77;38;3779;614;1495;614;4.3529;184000;NEAR OCEAN
1811;-118.05;33.73;25;2472;450;1301;467;5.0699;266100;<1H OCEAN
1812;-118.06;33.82;25;2637;462;965;415;4.5833;190900;<1H OCEAN
1813;-121.47;38.63;29;2197;520;1374;483;2.1889;69300;INLAND
1814;-121.36;38.4;18;4813;849;2333;843;4.175;144400;INLAND
1815;-118.28;34.02;29;515;229;2690;217;0.4999;500001;<1H OCEAN
1816;-118.06;33.72;22;4311;531;1426;533;9.8177;500001;NEAR OCEAN
1817;-118.1;33.85;28;2825;470;1352;469;5.2639;242000;<1H OCEAN
1818;-118.8;34.41;45;1610;536.9621513;1148;347;2.7;120400;<1H OCEAN
1819;-117.82;33.9;25;1137;170;524;164;7.5744;259300;<1H OCEAN
1820;-122.02;37.92;26;5077;640;1872;636;7.4713;351200;NEAR BAY
1821;-121.76;38.25;32;1495;333;905;281;2.625;212500;INLAND
1822;-118.29;34.18;52;1602;265;667;251;5.049;323500;<1H OCEAN
1823;-122.01;37.25;31;1574;193;551;191;10.2311;500001;<1H OCEAN
1824;-117.26;33.18;9;4540;793;2235;746;4.5781;225600;NEAR OCEAN
1825;-117.29;34.13;44;2337;563;1238;467;1.5156;75800;INLAND
1826;-118.99;35.33;36;1590;367;1311;390;1.6786;52900;INLAND
1827;-119.79;36.78;41;2227;462;1129;415;2.319;59100;INLAND
1828;-120.92;37.65;23;505;124;163;129;1.3696;275000;INLAND
1829;-118.17;34.09;33;2907;797;3212;793;2.2348;146600;<1H OCEAN
1830;-117.96;33.6;34;959;230;384;197;5.2333;471400;NEAR OCEAN
1831;-119.45;36.35;22;1824;333;1076;282;2.3365;69600;INLAND
1832;-118.23;33.93;37;239;49;308;52;1.4028;105400;<1H OCEAN
1833;-117.04;32.55;15;2206;648;2511;648;1.6348;93200;NEAR OCEAN
1834;-122.12;38.01;50;1300;263;691;239;3.9519;126500;NEAR BAY
1835;-118.27;33.93;41;570;135;466;121;2.6458;91300;<1H OCEAN
1836;-120.71;38.73;17;2146;396;862;351;2.9219;141300;INLAND
1837;-121.87;37.32;36;1471;360;1182;326;2.7031;175800;<1H OCEAN
1838;-118.24;33.96;39;643;186;821;191;2.5729;97300;<1H OCEAN
1839;-119.31;36.34;14;2985;607;2250;607;2.1602;65200;INLAND
1840;-124.1;40.88;35;2987;578;1581;585;2.0657;81100;NEAR OCEAN
1841;-123.71;39.88;42;1518;383;656;303;1.4952;69800;NEAR OCEAN
1842;-118.18;33.87;44;1832;401;1056;405;4.0658;175100;<1H OCEAN
1843;-117.92;33.79;35;1785;288;1033;297;4.5739;190500;<1H OCEAN
1844;-122.42;37.76;52;4001;1084;2129;1037;3.5052;391200;NEAR BAY
1845;-115.55;32.78;5;2652;606;1767;536;2.8025;84300;INLAND
1846;-117.12;32.8;31;1727;342;879;345;3.8125;166300;NEAR OCEAN
1847;-118.25;34.11;43;2230;583;1667;543;2.8667;217800;<1H OCEAN
1848;-118.86;36.41;20;2749;575;1195;491;3.0391;139700;INLAND
1849;-118.28;34.06;17;2518;1196;3051;1000;1.7199;175000;<1H OCEAN
1850;-118.27;34.24;30;2180;369;1050;390;6.3688;277600;<1H OCEAN
1851;-122.47;37.69;27;2447;720;2104;657;3.449;239100;NEAR OCEAN
1852;-120.45;34.95;10;2207;644;2232;543;2.375;98500;<1H OCEAN
1853;-121.23;37.84;28;1347;241;713;225;4.0208;155700;INLAND
1854;-118.11;34.06;18;2609;721;2221;703;2.3224;192300;<1H OCEAN
1855;-118.03;34.1;30;2773;634;1376;540;2.7857;201700;INLAND
1856;-119.04;35.36;40;1533;312;771;306;3.0435;69500;INLAND
1857;-120.61;35.13;16;3431;721;1777;701;2.7301;190400;<1H OCEAN
1858;-122.04;37.38;38;2850;550;1518;514;4.2028;273600;<1H OCEAN
1859;-118.58;34.12;42;718;140;324;131;6.4018;500001;<1H OCEAN
1860;-121.35;38.54;12;16239;3358;8656;3234;3.5691;116300;INLAND
1861;-122.38;37.58;52;2039;299;772;303;6.471;500001;NEAR OCEAN
1862;-116.83;32.83;6;3123;495;1513;480;5.4288;167800;<1H OCEAN
1863;-118.19;33.8;41;2125;591;1604;555;2.9943;190600;NEAR OCEAN
1864;-122.43;37.43;17;11999;2249;5467;1989;4.8405;354300;NEAR OCEAN
1865;-119.32;36.2;15;1562;275;961;287;3.4231;83300;INLAND
1866;-117.98;33.71;24;3430;548;1601;512;5.6825;264600;<1H OCEAN
1867;-118.24;34.23;43;1061;208;514;208;6.01;254200;<1H OCEAN
1868;-119.57;36.1;36;1729;317;737;278;3.5313;68800;INLAND
1869;-118.43;33.86;34;358;87;162;84;7.1264;500001;NEAR OCEAN
1870;-118.32;33.79;35;2924;658;1675;602;3.8287;279900;<1H OCEAN
1871;-117.23;32.87;11;3123;740;1223;634;5.417;196800;NEAR OCEAN
1872;-121.11;38.91;24;2558;423;1149;403;4.0679;190500;INLAND
1873;-117.08;32.97;3;17466;3336;7644;2895;5.4584;246500;<1H OCEAN
1874;-122.29;37.88;46;1895;442;920;425;2.9926;192100;NEAR BAY
1875;-120;38.87;12;1437;268;395;144;4.225;127600;INLAND
1876;-118.05;33.9;36;1047;227;975;239;3.1897;155000;<1H OCEAN
1877;-117.1;32.68;47;1044;274;1003;280;1.7802;97800;NEAR OCEAN
1878;-118.3;34.1;38;2067;914;2717;853;1.7641;250000;<1H OCEAN
1879;-117.95;33.99;25;1075;138;451;132;6.8492;332200;<1H OCEAN
1880;-121.84;37.34;33;1019;191;938;215;4.0929;165000;<1H OCEAN
1881;-118.19;33.86;42;1999;431;1060;399;3.7031;167100;<1H OCEAN
1882;-117.99;33.81;42;161;40;157;50;2.2;153100;<1H OCEAN
1883;-118.17;34.05;35;1256;294;2990;302;3.1528;121800;<1H OCEAN
1884;-124.17;40.8;52;1606;419;891;367;1.585;75500;NEAR OCEAN
1885;-120.86;37.49;22;2140;445;1441;409;2.4706;89400;INLAND
1886;-117.69;33.47;19;2595;621;1728;571;3.668;243800;<1H OCEAN
1887;-118;33.82;18;2947;559;1820;551;4.5294;224800;<1H OCEAN
1888;-122.09;37.42;23;4874;1251;2699;1163;3.8003;229800;NEAR BAY
1889;-122.23;38.13;29;5154;1084;2459;1019;3.2664;142900;NEAR BAY
1890;-121.95;37.31;27;4140;536.9621513;2135;893;3.6292;264600;<1H OCEAN
1891;-117.33;33.21;17;1246;300;424;288;2.2882;85800;NEAR OCEAN
1892;-118.34;33.88;42;725;183;493;172;3.2589;233300;<1H OCEAN
1893;-122.69;38.34;16;1683;341;880;327;3.2857;160200;<1H OCEAN
1894;-122.22;37.8;52;2183;465;1129;460;3.2632;227700;NEAR BAY
1895;-117.92;33.67;14;6224;1679;3148;1589;4.2071;430900;<1H OCEAN
1896;-118.4;34.14;52;1695;281;595;264;6.0678;399300;<1H OCEAN
1897;-121.37;38.57;16;3895;896;1762;855;2.6635;135800;INLAND
1898;-121.99;37.33;33;2023;425;1016;405;3.9417;285800;<1H OCEAN
1899;-119.78;36.72;22;354;121;530;115;2.1458;34400;INLAND
1900;-116.95;32.84;31;1307;536.9621513;752;231;3.4286;129400;<1H OCEAN
1901;-121.95;37.25;34;2906;544;1282;522;5.5127;268200;<1H OCEAN
1902;-121.39;38.56;19;8507;1470;3517;1453;4.3644;137400;INLAND
1903;-117.93;33.91;24;1698;297;676;273;5.2017;364600;<1H OCEAN
1904;-118.05;33.78;25;3112;435;1098;401;6;353500;<1H OCEAN
1905;-117.25;32.86;30;1670;219;606;202;12.4429;500001;NEAR OCEAN
1906;-122.05;37.63;5;3785;936;2240;792;3.2829;162500;NEAR BAY
1907;-117.11;32.74;25;2846;644;2272;632;2.2;98700;NEAR OCEAN
1908;-122.78;38.37;21;795;163;414;162;3.7991;175000;<1H OCEAN
1909;-118.33;33.97;47;1830;369;922;377;4.1635;156400;<1H OCEAN
1910;-122.85;38.52;13;4808;848;2568;762;3.6583;183200;<1H OCEAN
1911;-118.26;33.88;40;519;102;330;95;3.0972;108500;<1H OCEAN
1912;-117.09;32.69;20;1102;205;852;217;3.1833;108300;NEAR OCEAN
1913;-121.98;37.82;18;9117;1248;3280;1167;8.003;351300;<1H OCEAN
1914;-116.84;32.86;16;2502;532;1211;494;3.2516;202100;<1H OCEAN
1915;-120.93;35.76;11;8997;1698;1825;756;3.23;154300;<1H OCEAN
1916;-122.42;37.76;46;2150;817;2075;807;1.3824;212500;NEAR BAY
1917;-121.97;37.35;30;1955;536.9621513;999;386;4.6328;287100;<1H OCEAN
1918;-116.84;32.92;20;1066;219;536;173;3.1607;119300;<1H OCEAN
1919;-120.45;34.96;21;2121;445;2211;463;4.0603;117600;<1H OCEAN
1920;-117.37;33.18;19;1931;509;855;394;2.6979;266700;NEAR OCEAN
1921;-118.33;33.88;30;1856;444;899;435;3.1505;270000;<1H OCEAN
1922;-121.4;38.61;33;3512;825;1515;782;1.9908;118800;INLAND
1923;-121.35;38;22;3564;730;1539;699;3.675;152400;INLAND
1924;-122.68;38.07;26;1445;244;510;207;5.6305;430000;NEAR OCEAN
1925;-120.45;34.65;21;1182;243;733;251;3.1442;131600;NEAR OCEAN
1926;-120.54;38.07;37;736;148;339;140;2.2875;79900;INLAND
1927;-122.41;40.58;35;2072;385;1029;375;2.8512;75600;INLAND
1928;-118.48;34.04;36;2539;535;979;500;3.6667;500001;<1H OCEAN
1929;-121.49;38.63;6;12197;2617;5634;2329;3.7449;129300;INLAND
1930;-122.41;37.74;52;1842;339;1032;357;5.5563;250800;NEAR BAY
1931;-122.24;37.82;52;3481;751;1444;718;3.9;275700;NEAR BAY
1932;-118.8;34.19;4;15572;2222;5495;2152;8.6499;500001;<1H OCEAN
1933;-120.43;34.93;4;2866;648;1311;578;2.8649;186500;<1H OCEAN
1934;-119.72;36.82;15;946;239;550;246;2.2639;52500;INLAND
1935;-119.79;36.29;6;1265;227;764;246;4.2917;104200;INLAND
1936;-118.5;34.25;32;2333;389;969;331;4.8164;241100;<1H OCEAN
1937;-116.85;34.25;5;5806;1030;569;219;4.0132;163100;INLAND
1938;-118.43;33.99;42;2558;558;1328;541;4.875;301300;<1H OCEAN
1939;-122.25;37.86;52;4048;663;1316;590;5.3794;376900;NEAR BAY
1940;-122.38;37.71;47;1088;190;558;166;4.2708;207100;NEAR BAY
1941;-120.45;37.32;19;3136;466;1631;484;3.6471;101400;INLAND
1942;-118.36;34.05;48;1825;404;728;363;3.3824;322600;<1H OCEAN
1943;-122.23;37.82;52;1611;203;556;179;8.7477;500001;NEAR BAY
1944;-119.08;35.34;15;1474;235;768;238;4.1528;130100;INLAND
1945;-122.29;37.97;20;3426;632;1512;580;4.4911;227400;NEAR BAY
1946;-117.95;34.03;33;1453;326;1609;319;3.7578;155800;<1H OCEAN
1947;-118.58;34.15;21;3856;547;1422;535;8.4196;450700;<1H OCEAN
1948;-117.93;33.88;32;2458;359;967;409;7.2893;293500;<1H OCEAN
1949;-121.32;38.03;25;2474;513;1947;524;2.5742;98400;INLAND
1950;-117.03;32.79;31;2366;383;1077;387;4.2992;174400;<1H OCEAN
1951;-122.14;37.71;27;3094;866;1364;789;2.6101;181700;NEAR BAY
1952;-122.13;39.74;20;1401;280;668;250;2.2569;94300;INLAND
1953;-118.33;33.98;28;3889;1199;3121;1046;1.8806;113900;<1H OCEAN
1954;-122.28;37.54;37;991;180;463;177;5.1701;294200;NEAR OCEAN
1955;-117.28;33.22;13;2832;542;1065;531;2.3844;98600;<1H OCEAN
1956;-117.55;33.9;21;1839;324;871;307;3.4459;198800;INLAND
1957;-117.43;34.11;17;4109;884;2544;780;2.7757;109800;INLAND
1958;-118.4;34.19;35;2180;599;1483;574;3.0395;191300;<1H OCEAN
1959;-122.02;37.09;35;1818;368;682;254;4.8611;240000;NEAR OCEAN
1960;-118.19;33.98;36;4179;536.9621513;4582;1196;2.0087;172100;<1H OCEAN
1961;-122.81;38.08;19;1615;366;815;337;3.4609;238800;NEAR OCEAN
1962;-118.53;34.27;32;1931;298;948;314;5.3847;329200;<1H OCEAN
1963;-121.78;40.12;14;388;108;35;17;6.1359;106300;INLAND
1964;-121.46;38.56;52;907;180;479;177;2.2125;104000;INLAND
1965;-119.07;36.08;5;2693;508;1785;491;3;71000;INLAND
1966;-121.95;37.74;19;5721;837;2653;813;6.2631;266000;<1H OCEAN
1967;-120.43;36.18;29;579;116;218;99;2.1458;104200;INLAND
1968;-118.18;34.04;44;1079;275;1249;249;3.0417;141700;<1H OCEAN
1969;-118.18;33.91;36;1138;238;878;224;2.0625;134400;<1H OCEAN
1970;-122.16;37.45;19;2207;810;1304;775;2.1406;402500;NEAR BAY
1971;-120.48;34.66;4;1897;331;915;336;4.1563;172600;NEAR OCEAN
1972;-117.9;33.9;18;3821;576;1430;568;6.9399;349600;<1H OCEAN
1973;-121.27;37.94;38;512;133;676;124;1.7386;52000;INLAND
1974;-115.49;32.87;19;541;104;457;106;3.3583;102800;INLAND
1975;-121.93;36.63;33;1740;342;638;329;3.1912;319800;NEAR OCEAN
1976;-117.9;33.87;34;1411;292;1040;299;3.4338;195200;<1H OCEAN
1977;-118.2;34.04;36;1625;490;2003;478;2.181;147200;<1H OCEAN
1978;-118.13;34.02;38;1243;310;788;286;2.5852;185100;<1H OCEAN
1979;-117.75;33.6;5;4944;1164;1727;948;4.9;255600;<1H OCEAN
1980;-124.02;40.8;22;2588;435;1198;442;3.9792;133900;<1H OCEAN
1981;-121.03;37.33;27;1333;230;730;229;3.06;106000;INLAND
1982;-118.58;34.22;35;1969;339;950;340;4.875;230400;<1H OCEAN
1983;-122.46;37.72;37;1833;388;1093;363;3.0703;211800;NEAR OCEAN
1984;-118.18;33.77;49;2297;759;1105;629;1.8388;175000;NEAR OCEAN
1985;-118.85;34.17;42;564;96;220;81;4.5625;318800;<1H OCEAN
1986;-118.29;33.82;21;4383;901;2689;913;3.4375;218800;<1H OCEAN
1987;-121.9;37.32;48;1274;313;971;291;3.7738;220600;<1H OCEAN
1988;-116.99;33.2;17;2980;539;1531;505;3.1553;250000;<1H OCEAN
1989;-120.51;39.52;26;2286;444;498;216;2.065;96100;INLAND
1990;-117.06;33.03;23;2023;309;678;340;7.0913;265400;<1H OCEAN
1991;-121.54;39.48;29;2896;596;1809;617;1.8047;53800;INLAND
1992;-122.42;37.62;43;2367;409;1141;400;4.8295;319000;NEAR OCEAN
1993;-118.4;34.2;13;4859;1293;3351;1200;3.6875;211900;<1H OCEAN
1994;-121.36;38.61;35;2355;365;993;354;5.0492;144100;INLAND
1995;-119.79;34.45;24;2746;433;1076;380;5.8635;348700;NEAR OCEAN
1996;-118.04;34.1;38;2317;451;1155;426;4.1488;235300;INLAND
1997;-121.66;37.11;19;3785;611;2198;610;5.1514;436700;<1H OCEAN
1998;-118.11;33.84;37;1588;272;692;245;4.8594;220300;<1H OCEAN
1999;-118.52;34.05;45;1814;325;709;311;4.825;500001;<1H OCEAN
2000;-118.09;34.08;42;1003;236;769;231;3.1607;218300;<1H OCEAN
2001;-118.28;34.09;38;790;275;664;194;3.0357;175000;<1H OCEAN
2002;-117.32;34.48;8;4627;887;2739;846;3.0204;93100;INLAND
2003;-117.1;32.66;27;1782;560;1785;560;2.1542;106300;NEAR OCEAN
2004;-118.43;34.08;46;778;90;238;93;15.0001;500001;<1H OCEAN
2005;-119.2;34.27;8;4942;1173;3012;1033;3.445;203400;NEAR OCEAN
2006;-118.11;34.01;43;1539;386;1122;377;2.4605;196000;<1H OCEAN
2007;-118.05;34.1;42;2065;404;1313;402;4.0179;274300;INLAND
2008;-115.69;32.79;18;1564;340;1161;343;2.1792;55200;INLAND
2009;-117.74;34.05;30;1185;317;1466;302;2.625;94300;INLAND
2010;-118.01;33.83;23;1086;268;825;250;2.4609;219600;<1H OCEAN
2011;-121.96;38.36;11;3208;790;1772;694;2.7434;218800;INLAND
2012;-120.42;40.38;26;1652;313;762;280;2.4757;85600;INLAND
2013;-119.27;35.88;32;1393;343;1282;336;1.5069;43700;INLAND
2014;-120.43;34.86;17;1932;347;874;312;3.8203;141500;<1H OCEAN
2015;-116.48;33.79;14;9425;2020;1711;1000;2.6298;145200;INLAND
2016;-118.42;33.99;23;5548;1245;2847;1229;4.4228;366900;<1H OCEAN
2017;-117.07;32.59;21;1779;466;1327;488;1.6007;96200;NEAR OCEAN
2018;-118.36;34.17;44;2295;560;1543;528;2.3851;194100;<1H OCEAN
2019;-118.39;34.23;43;1193;299;1184;320;2.1518;161600;<1H OCEAN
2020;-118.16;33.91;28;2922;739;3013;673;2.9531;127100;<1H OCEAN
2021;-118.47;34.19;33;3879;943;2113;843;3.892;292900;<1H OCEAN
2022;-117.89;33.84;33;1587;374;1159;331;2.8021;195100;<1H OCEAN
2023;-121.23;37.8;11;2451;665;1155;533;2.2254;130800;INLAND
2024;-118.14;33.89;37;1159;238;740;243;4.9107;179600;<1H OCEAN
2025;-121.63;37.1;14;5034;797;2124;790;4.9028;335000;<1H OCEAN
2026;-121.95;37.32;33;726;168;351;147;3.1458;270500;<1H OCEAN
2027;-118.16;33.72;29;2743;708;1059;651;3.625;500000;NEAR OCEAN
2028;-118.02;34.04;28;6175;1449;5041;1408;2.8821;158100;<1H OCEAN
2029;-118.9;34.41;35;4431;739;2304;720;4.2599;209100;<1H OCEAN
2030;-120.88;38.16;8;2029;387;1000;364;4.0109;125900;INLAND
2031;-118.3;33.91;34;1617;493;1530;500;2.6182;172600;<1H OCEAN
2032;-122.62;38.24;33;1369;280;758;246;4.0341;156500;<1H OCEAN
2033;-118.33;34.2;43;2322;418;1106;433;4.3631;284600;<1H OCEAN
2034;-121;37.61;36;2647;604;2045;550;2.273;62900;INLAND
2035;-118.18;34.11;44;1346;398;1204;344;2.3984;152200;<1H OCEAN
2036;-118.18;34.03;37;2115;580;2842;572;2.239;121300;<1H OCEAN
2037;-119.45;35.07;45;973;183;500;177;2.6389;30000;INLAND
2038;-121.7;37.93;19;2005;405;972;403;2.2216;156700;INLAND
2039;-119.32;36.19;11;3136;620;2013;583;3.335;69700;INLAND
2040;-121.96;37.35;32;1484;274;673;272;5.2019;279900;<1H OCEAN
2041;-118.36;33.93;40;1625;500;2036;476;2.6298;156500;<1H OCEAN
2042;-118.07;33.88;18;2436;375;1303;386;6.1968;344700;<1H OCEAN
2043;-118.28;34.08;39;3162;896;1934;818;2.875;213500;<1H OCEAN
2044;-118.4;33.85;29;2085;533;919;489;5.6017;430000;<1H OCEAN
2045;-117.92;33.98;10;16414;2919;8907;2714;6.1552;362500;<1H OCEAN
2046;-118.14;33.84;44;3043;619;1316;607;4.4286;254900;<1H OCEAN
2047;-122;38.36;34;1502;282;860;297;3.3438;135600;INLAND
2048;-118.38;33.81;39;2400;373;877;372;5.7361;500001;NEAR OCEAN
2049;-119.77;35.65;21;2403;483;1647;415;2.6066;80000;INLAND
2050;-117.31;34.03;24;1966;299;786;302;5.0318;134500;INLAND
2051;-119.21;36.3;23;951;235;806;222;1.7734;41400;INLAND
2052;-120.11;39.24;21;3005;574;385;150;3.1193;153300;INLAND
2053;-117.18;33.78;7;1697;424;808;354;1.3417;169300;INLAND
2054;-118.22;33.89;36;873;240;1086;217;2.25;126600;<1H OCEAN
2055;-122.7;38.35;14;2313;536.9621513;954;397;3.7813;146500;<1H OCEAN
2056;-117.81;33.64;16;2404;349;868;329;11.0138;442100;<1H OCEAN
2057;-117.13;32.75;37;4142;1031;1936;968;2.693;174100;NEAR OCEAN
2058;-118.02;33.81;34;3482;614;2227;641;5.1155;200900;<1H OCEAN
2059;-118.3;33.89;30;2756;858;1806;787;3.0329;207800;<1H OCEAN
2060;-121.96;37.31;26;4310;678;1819;686;7.0469;365500;<1H OCEAN
2061;-122.34;37.97;19;392;109;287;81;6.0426;110000;NEAR BAY
2062;-119.31;36.39;32;2293;466;1538;468;1.9342;68600;INLAND
2063;-121.98;37.31;32;2248;460;1191;419;5.606;288900;<1H OCEAN
2064;-117.33;34.04;18;1837;388;727;336;2.5187;116700;INLAND
2065;-117.28;33.2;11;1472;261;1012;285;4.21;175600;NEAR OCEAN
2066;-116.99;32.96;17;5509;866;2748;817;4.8854;181300;<1H OCEAN
2067;-118.19;33.89;32;1696;438;1639;376;2.0357;107300;<1H OCEAN
2068;-119.38;36.3;14;1932;330;997;291;3.6875;93200;INLAND
2069;-121.38;38.62;41;774;144;356;150;3.5625;115300;INLAND
2070;-121.15;39;15;4145;691;1872;680;4.3553;220600;INLAND
2071;-118.41;34.01;43;2000;529;1290;514;4.7031;302500;<1H OCEAN
2072;-119.17;34.2;40;1083;319;1843;349;2.3077;106900;NEAR OCEAN
2073;-117.41;33.94;33;2074;476;911;420;2.87;117600;INLAND
2074;-120.66;39.72;15;3763;784;717;348;2.2019;130500;INLAND
2075;-122.37;40.6;7;5178;1336;2557;1283;2.4079;111400;INLAND
2076;-120.66;38.4;18;2144;420;985;381;3.175;118500;INLAND
2077;-121.88;37.64;20;1309;184;514;172;10.9506;475800;INLAND
2078;-122.13;37.15;39;2854;613;1338;518;3.9423;180300;NEAR OCEAN
2079;-118.38;34.06;25;2558;661;1183;636;3.5556;500000;<1H OCEAN
2080;-116.22;33.73;38;1695;352;1279;305;2.1217;68500;INLAND
2081;-120.4;34.86;11;1633;348;504;327;2.0508;275000;<1H OCEAN
2082;-118.02;33.9;34;2678;511;1540;497;4.4954;202900;<1H OCEAN
2083;-117.04;32.98;16;1332;196;640;193;6.0226;192900;<1H OCEAN
2084;-118.27;33.81;38;1607;337;1130;334;4.4821;190700;<1H OCEAN
2085;-122.46;37.64;26;2806;375;1617;396;5.3922;353700;NEAR OCEAN
2086;-122.78;38.52;23;2511;549;1052;527;2.4922;192000;<1H OCEAN
2087;-121.03;37.69;6;2607;557;1266;475;3.4632;137700;INLAND
2088;-120.3;38.04;6;1281;245;422;160;3.2875;111300;INLAND
2089;-122.42;40.63;23;2248;489;1132;444;1.6429;80400;INLAND
2090;-118.03;33.98;46;1974;465;880;441;2.7578;236800;<1H OCEAN
2091;-116.9;32.79;21;3770;491;1410;446;6.7685;294700;<1H OCEAN
2092;-122.32;37.52;26;4042;591;1611;578;8.4693;419200;NEAR OCEAN
2093;-121.89;38.01;32;1000;188;663;212;4.0972;99200;INLAND
2094;-118.32;33.9;36;1741;412;1245;423;4.1344;210300;<1H OCEAN
2095;-117.11;33.14;10;3208;636;1395;582;3.4455;190500;<1H OCEAN
2096;-117.82;33.66;24;4227;641;1605;589;6.4238;278400;<1H OCEAN
2097;-118.11;34.17;50;3374;598;1484;569;4.99;261600;INLAND
2098;-118.24;34.22;36;2507;517;1232;470;5.529;241300;<1H OCEAN
2099;-122;38.73;31;371;74;208;84;3.875;137500;INLAND
2100;-117.24;32.79;17;1149;266;403;228;4.1652;241700;NEAR OCEAN
2101;-117.04;33.01;28;922;107;314;97;8.4721;342300;<1H OCEAN
2102;-118.18;34.08;31;1318;311;1164;289;2.9939;135500;<1H OCEAN
2103;-120.43;38.25;13;763;161;311;125;2.4583;112500;INLAND
2104;-121.19;38.13;27;2400;435;1085;444;3.7687;165200;INLAND
2105;-117.97;34.13;33;2038;473;1546;469;3.4777;144500;INLAND
2106;-118.14;33.89;33;1250;276;866;268;4.1708;175000;<1H OCEAN
2107;-118.43;34.19;27;3440;739;1827;712;4.125;245500;<1H OCEAN
2108;-114.65;32.79;21;44;33;64;27;0.8571;25000;INLAND
2109;-119.42;35.4;24;2585;480;1442;424;2.8452;104700;INLAND
2110;-117.9;34.06;33;1701;290;831;275;5.4469;274700;<1H OCEAN
2111;-117.84;33.8;34;2004;331;843;328;3.59;230600;<1H OCEAN
2112;-121.1;39;16;1106;195;505;187;5.0126;192300;INLAND
2113;-121.76;37.67;6;3023;518;1225;468;6.3705;350000;INLAND
2114;-119.69;36.75;13;2343;409;1347;405;4.0027;93100;INLAND
2115;-118.19;34.19;34;2061;260;825;254;15.0001;500001;<1H OCEAN
2116;-117.71;34.06;27;2127;628;1970;534;1.4722;91300;INLAND
2117;-117.99;33.79;33;2064;324;1384;315;4.5263;169000;<1H OCEAN
2118;-122.09;37.98;14;5381;871;2296;872;5.6875;211000;NEAR BAY
2119;-122.5;38.82;12;2394;443;877;341;2.5625;109200;INLAND
2120;-119.81;37.67;24;172;42;79;30;3.8333;93800;INLAND
2121;-121.38;38.68;40;67;17;50;32;1.7596;93800;INLAND
2122;-118.52;34.18;43;1700;380;930;349;3.675;213100;<1H OCEAN
2123;-122.4;37.81;12;1349;349;536;334;7.7852;250000;NEAR BAY
2124;-117.97;33.84;18;1063;209;462;223;2.8348;219000;<1H OCEAN
2125;-122.08;37.35;33;2398;317;832;314;10.3591;500001;NEAR BAY
2126;-118.31;33.99;49;857;196;694;228;2.895;108000;<1H OCEAN
2127;-118.12;33.86;34;2116;427;972;396;4.8516;213600;<1H OCEAN
2128;-121.93;36.99;19;6356;1100;2954;1070;4.7325;283500;NEAR OCEAN
2129;-121.89;37.23;16;3574;466;1503;487;8.1988;355900;<1H OCEAN
2130;-117.02;32.7;22;2756;516;1849;486;4.1837;125400;NEAR OCEAN
